"title","url","image","creator","creator_url","source_url","last_updated","comments","views","favourites","broad category","category","subcategory","released","last_mod_update"
"Pet Themed Holiday Traditions (Update 17th April 2019)","https://modthesims.info//d/615962/pet-themed-holiday-traditions-update-17th-april-2019.html","https://thumbs2.modthesims2.com/img/4/5/9/0/9/3/6/1787568.largethumb.jpg?cb=1532968901","icemunmun","https://modthesims.info//m/4590936","https://modthesims.info/downloads/ts4/38/page/3/?showType=1&t=picked&csort=0","2022-01-16",34,86700,305,"Game Mods","Miscellaneous","Other","30th Jul 2018","17th Apr 2019"
"RK800 Connor Jacket RE-TEXTURED by LadySpira","https://modthesims.info//d/615753/rk800-connor-jacket-re-textured-by-ladyspira.html","https://thumbs2.modthesims2.com/img/6/5/5/4/6/8/3/1786529.largethumb.jpg?cb=1532716859","LadySpira","https://modthesims.info//m/6554683","https://modthesims.info/downloads/ts4/38/page/3/?showType=1&t=picked&csort=0","2022-01-16",27,52500,94,"Male","Everyday","Adult","27th Jul 2018","9th Aug 2018"
"4, Privet Drive | Harry Potter builds","https://modthesims.info//d/615195/4-privet-drive-harry-potter-builds.html","https://thumbs2.modthesims2.com/img/7/8/4/6/4/0/0/1977786.largethumb.jpg?cb=1531687067","iSandor","https://modthesims.info//m/7846400","https://modthesims.info/downloads/ts4/38/page/3/?showType=1&t=picked&csort=0","2022-01-16",26,49500,93,"Lots & Housing","Residential","","15th Jul 2018",""
"Dining Patio Set from TS3","https://modthesims.info//d/614205/dining-patio-set-from-ts3.html","https://thumbs2.modthesims2.com/img/6/5/4/3/7/8/1778368.largethumb.jpg?cb=1530124355","TheJim07","https://modthesims.info//m/654378","https://modthesims.info/downloads/ts4/38/page/3/?showType=1&t=picked&csort=0","2022-01-16",33,58000,186,"By Room","Outdoor","","27th Jun 2018","2nd May 2021"
"Greenhouse Manor - No CC","https://modthesims.info//d/613932/greenhouse-manor-no-cc.html","https://thumbs2.modthesims2.com/img/4/2/6/4/8/7/1777187.largethumb.jpg?cb=1529712553","Chaosking","https://modthesims.info//m/426487","https://modthesims.info/downloads/ts4/38/page/4/?showType=1&t=picked&csort=0","2022-01-16",32,48300,121,"Lots & Housing","Residential","","23rd Jun 2018",""
"Invisible Fence - Updated 19-07-2019","https://modthesims.info//d/613216/invisible-fence-updated-19-07-2019.html","https://thumbs2.modthesims2.com/img/3/7/5/1/1/1/9/1774055.largethumb.jpg?cb=1528467551","Bakie","https://modthesims.info//m/3751119","https://modthesims.info/downloads/ts4/38/page/4/?showType=1&t=picked&csort=0","2022-01-16",106,100400,401,"Build Mode","Miscellaneous","Fences and Gates","8th Jun 2018","19th Jul 2019"
"Grey Warden Trait [UPDATED 11/13/2018]","https://modthesims.info//d/613117/grey-warden-trait-updated-11-13-2018.html","https://thumbs2.modthesims2.com/img/1/0/0/6/1/1/4/6/1773722.largethumb.jpg?cb=1528309904","hayleysimzy","https://modthesims.info//m/10061146","https://modthesims.info/downloads/ts4/38/page/4/?showType=1&t=picked&csort=0","2022-01-16",18,67300,70,"Traits","","","6th Jun 2018","14th Nov 2018"
"Animated Tranquility Waves","https://modthesims.info//d/612961/animated-tranquility-waves.html","https://thumbs2.modthesims2.com/img/6/8/3/1/0/2/3/1772853.largethumb.jpg?cb=1527979721","Snowhaze","https://modthesims.info//m/6831023","https://modthesims.info/downloads/ts4/38/page/4/?showType=1&t=picked&csort=0","2022-01-16",13,45500,77,"Build Mode","Miscellaneous","Other","3rd Jun 2018",""
"Snow Palace","https://modthesims.info//d/612647/snow-palace.html","https://thumbs2.modthesims2.com/img/8/7/7/1/4/5/9/1771242.largethumb.jpg?cb=1527634617","catdenny","https://modthesims.info//m/8771459","https://modthesims.info/downloads/ts4/38/page/4/?showType=1&t=picked&csort=0","2022-01-16",19,51400,95,"Lots & Housing","Residential","","30th May 2018",""
"Animated Breezy Curtains for Arches and Open Windows","https://modthesims.info//d/612321/animated-breezy-curtains-for-arches-and-open-windows.html","https://thumbs2.modthesims2.com/img/6/8/3/1/0/2/3/1769706.largethumb.jpg?cb=1526783768","Snowhaze","https://modthesims.info//m/6831023","https://modthesims.info/downloads/ts4/38/page/4/?showType=1&t=picked&csort=0","2022-01-16",13,36500,68,"Decorative","Curtains","","20th May 2018",""
"Enhanced Butt Slider - updated 6/16/2018, shape morphs added","https://modthesims.info//d/611940/enhanced-butt-slider-updated-6-16-2018-shape-morphs-added.html","https://thumbs2.modthesims2.com/img/3/2/1/6/5/9/6/1784783.largethumb.jpg?cb=1526143271","CmarNYC","https://modthesims.info//m/3216596","https://modthesims.info/downloads/ts4/38/page/4/?showType=1&t=picked&csort=0","2022-01-16",74,290100,500,"Game Mods","Miscellaneous","Sliders","12th May 2018","17th Jun 2018"
"SEGA Certified Hedgehogs","https://modthesims.info//d/611130/sega-certified-hedgehogs.html","https://thumbs2.modthesims2.com/img/3/0/9/1/7/4/5/1765067.largethumb.jpg?cb=1524952314","woopa20","https://modthesims.info//m/3091745","https://modthesims.info/downloads/ts4/38/page/4/?showType=1&t=picked&csort=0","2022-01-16",21,53600,93,"Pet Objects","Misc.","","28th Apr 2018",""
"Brilliance Gardens I: Mossy Moss Terrains","https://modthesims.info//d/610789/brilliance-gardens-i-mossy-moss-terrains.html","https://thumbs2.modthesims2.com/img/6/8/3/1/0/2/3/1763320.largethumb.jpg?cb=1524163945","Snowhaze","https://modthesims.info//m/6831023","https://modthesims.info/downloads/ts4/38/page/4/?showType=1&t=picked&csort=0","2022-01-16",5,43600,48,"Build Mode","Walls and Floors","Terrain Paints","19th Apr 2018",""
"Redesigned With Style - Movie Hangout Stuff Living Room Items","https://modthesims.info//d/610674/redesigned-with-style-movie-hangout-stuff-living-room-items.html","https://thumbs2.modthesims2.com/img/2/6/3/3/2/7/5/1762934.largethumb.jpg?cb=1523924690","Simmiller","https://modthesims.info//m/2633275","https://modthesims.info/downloads/ts4/38/page/4/?showType=1&t=picked&csort=0","2022-01-16",19,52700,102,"By Room","Living","","17th Apr 2018",""
"Airline Employee Career - 6 Career Tracks","https://modthesims.info//d/610544/airline-employee-career-6-career-tracks.html","https://thumbs2.modthesims2.com/img/2/6/3/3/2/7/5/1762372.largethumb.jpg?cb=1523665830","Simmiller","https://modthesims.info//m/2633275","https://modthesims.info/downloads/ts4/38/page/4/?showType=1&t=picked&csort=0","2022-01-16",114,109500,268,"Careers","EP compatible","","14th Apr 2018","21st Jul 2021"
"Jester Lavore - Critical Role Season 2","https://modthesims.info//d/610428/jester-lavore-critical-role-season-2.html","https://thumbs2.modthesims2.com/img/8/8/8/3/0/1/7/1762042.largethumb.jpg?cb=1523546354","Kurosmind","https://modthesims.info//m/8883017","https://modthesims.info/downloads/ts4/38/page/4/?showType=1&t=picked&csort=0","2022-01-16",23,51900,124,"Sims","Anime, Comic & Gaming Characters","Female","12th Apr 2018","13th Apr 2018"
"Jungle Rustic Style Outdoor Objects [04/19/20 Updated]","https://modthesims.info//d/609857/jungle-rustic-style-outdoor-objects-04-19-20-updated.html","https://thumbs2.modthesims2.com/img/1/1/2/1/7/2/1759611.largethumb.jpg?cb=1522481936","Serinion","https://modthesims.info//m/112172","https://modthesims.info/downloads/ts4/38/page/4/?showType=1&t=picked&csort=0","2022-01-16",17,23700,95,"By Room","Outdoor","","31st Mar 2018","19th Apr 2020"
"Tropical Manor","https://modthesims.info//d/609762/tropical-manor.html","https://thumbs2.modthesims2.com/img/1/0/0/5/6/8/5/8/1759267.largethumb.jpg?cb=1522666813","rayunemoon","https://modthesims.info//m/10056858","https://modthesims.info/downloads/ts4/38/page/4/?showType=1&t=picked&csort=0","2022-01-16",7,48700,98,"Lots & Housing","Lodging","","2nd Apr 2018",""
"Chester Abrams","https://modthesims.info//d/609715/chester-abrams.html","https://thumbs2.modthesims2.com/img/5/5/6/4/1759059.largethumb.jpg?cb=1522284324","Hellfrozeover","https://modthesims.info//m/5564","https://modthesims.info/downloads/ts4/38/page/4/?showType=1&t=picked&csort=0","2022-01-16",16,20600,28,"Sims","Other","Male","29th Mar 2018",""
"Isabella ""Izzy"" Puentes","https://modthesims.info//d/609571/isabella-quot-izzy-quot-puentes.html","https://thumbs2.modthesims2.com/img/5/5/6/4/1758581.largethumb.jpg?cb=1522099515","Hellfrozeover","https://modthesims.info//m/5564","https://modthesims.info/downloads/ts4/38/page/4/?showType=1&t=picked&csort=0","2022-01-16",11,17300,21,"Sims","Other","Female","26th Mar 2018",""
"La Catarina Restaurant","https://modthesims.info//d/608613/la-catarina-restaurant.html","https://thumbs2.modthesims2.com/img/8/0/3/4/4/2/2/1754131.largethumb.jpg?cb=1520705710","Moscowlyly","https://modthesims.info//m/8034422","https://modthesims.info/downloads/ts4/38/page/4/?showType=1&t=picked&csort=0","2022-01-16",7,18600,53,"Lots & Housing","Community","","10th Mar 2018",""
"Jungle Adventure Minor mods - [Updated 1st July 2018]","https://modthesims.info//d/608188/jungle-adventure-minor-mods-updated-1st-july-2018.html","https://thumbs2.modthesims2.com/img/4/5/9/0/9/3/6/1752046.largethumb.jpg?cb=1519926945","icemunmun","https://modthesims.info//m/4590936","https://modthesims.info/downloads/ts4/38/page/4/?showType=1&t=picked&csort=0","2022-01-16",44,59400,195,"Game Mods","Overrides","Tuning Mods","1st Mar 2018","1st Jul 2018"
"True Happiness","https://modthesims.info//d/607682/true-happiness.html","https://thumbs2.modthesims2.com/img/9/7/8/3/7/2/0/1749491.largethumb.jpg?cb=1519299595","roBurky","https://modthesims.info//m/9783720","https://modthesims.info/downloads/ts4/38/page/4/?showType=1&t=picked&csort=0","2022-01-16",83,131300,482,"Game Mods","Miscellaneous","Other","22nd Feb 2018","19th Jan 2021"
"The Summer Home (no CC, 1 bedroom, 1 bathroom)","https://modthesims.info//d/606735/the-summer-home-no-cc-1-bedroom-1-bathroom.html","https://thumbs2.modthesims2.com/img/1/0/0/4/5/9/7/7/1744579.largethumb.jpg?cb=1517696250","richrush","https://modthesims.info//m/10045977","https://modthesims.info/downloads/ts4/38/page/4/?showType=1&t=picked&csort=0","2022-01-16",16,19600,71,"Lots & Housing","Residential","","3rd Feb 2018",""
"The Paris Opera House","https://modthesims.info//d/607169/the-paris-opera-house.html","https://thumbs2.modthesims2.com/img/8/7/7/1/4/5/9/1746873.largethumb.jpg?cb=1518712800","catdenny","https://modthesims.info//m/8771459","https://modthesims.info/downloads/ts4/38/page/5/?showType=1&t=picked&csort=0","2022-01-16",21,28400,97,"Lots & Housing","Residential","","15th Feb 2018",""
"The Sims 4 Random Sim Generator","https://modthesims.info//d/606375/the-sims-4-random-sim-generator.html","https://thumbs2.modthesims2.com/img/6/2/2/4/8/0/0/1742953.largethumb.jpg?cb=1516844054","katrisims","https://modthesims.info//m/6224800","https://modthesims.info/downloads/ts4/38/page/5/?showType=1&t=picked&csort=0","2022-01-16",74,84100,322,"Programs and Utilities","","","25th Jan 2018","8th Dec 2021"
"Bicolor dress","https://modthesims.info//d/606293/bicolor-dress.html","https://thumbs2.modthesims2.com/img/4/5/8/6/8/8/7/1742592.largethumb.jpg?cb=1516694655","Simalicious","https://modthesims.info//m/4586887","https://modthesims.info/downloads/ts4/38/page/5/?showType=1&t=picked&csort=0","2022-01-16",8,22700,85,"Female","Everyday","Adult","23rd Jan 2018",""
"Vampire Family Home (NO CC)","https://modthesims.info//d/605818/vampire-family-home-no-cc.html","https://thumbs2.modthesims2.com/img/9/7/0/3/0/6/7/1740842.largethumb.jpg?cb=1515928335","soundrunner04","https://modthesims.info//m/9703067","https://modthesims.info/downloads/ts4/38/page/5/?showType=1&t=picked&csort=0","2022-01-16",11,35200,72,"Lots & Housing","Residential","","14th Jan 2018",""
"H&B Portal - Expensive Refrigerator","https://modthesims.info//d/605139/h-amp-b-portal-expensive-refrigerator.html","https://thumbs2.modthesims2.com/img/8/9/4/8/6/8/5/1738342.largethumb.jpg?cb=1514654289","littledica","https://modthesims.info//m/8948685","https://modthesims.info/downloads/ts4/38/page/5/?showType=1&t=picked&csort=0","2022-01-16",48,86400,293,"Appliances","","","30th Dec 2017","31st Dec 2017"
"Cotton Candy Machine [Updated 20th June 2020]","https://modthesims.info//d/604589/cotton-candy-machine-updated-20th-june-2020.html","https://thumbs2.modthesims2.com/img/4/5/9/0/9/3/6/1736544.largethumb.jpg?cb=1513619707","icemunmun","https://modthesims.info//m/4590936","https://modthesims.info/downloads/ts4/38/page/5/?showType=1&t=picked&csort=0","2022-01-16",67,150300,334,"Appliances","","","18th Dec 2017","1st Nov 2020"
"Get To Work Active Career Aspirations (4 in total)","https://modthesims.info//d/604177/get-to-work-active-career-aspirations-4-in-total.html","https://thumbs2.modthesims2.com/img/9/8/6/7/0/8/5/1735265.largethumb.jpg?cb=1513073170","konansock","https://modthesims.info//m/9867085","https://modthesims.info/downloads/ts4/38/page/5/?showType=1&t=picked&csort=0","2022-01-16",78,159200,470,"Game Mods","Miscellaneous","Other","12th Dec 2017","26th May 2020"
"Build Your Own Houseboat","https://modthesims.info//d/604133/build-your-own-houseboat.html","https://thumbs2.modthesims2.com/img/6/8/3/1/0/2/3/1734952.largethumb.jpg?cb=1512705678","Snowhaze","https://modthesims.info//m/6831023","https://modthesims.info/downloads/ts4/38/page/5/?showType=1&t=picked&csort=0","2022-01-16",27,103700,221,"Decorative","Sculptures","","8th Dec 2017",""
"Joely Sterling","https://modthesims.info//d/599671/joely-sterling.html","https://thumbs2.modthesims2.com/img/5/5/6/4/1717918.largethumb.jpg?cb=1504301645","Hellfrozeover","https://modthesims.info//m/5564","https://modthesims.info/downloads/ts4/38/page/5/?showType=1&t=picked&csort=0","2022-01-16",7,21400,37,"Sims","Other","Female","1st Sep 2017",""
"EyeHip - Hipster Eyeglasses","https://modthesims.info//d/603040/eyehip-hipster-eyeglasses.html","https://thumbs2.modthesims2.com/img/3/0/4/8/6/3/9/1731049.largethumb.jpg?cb=1510882175","Brainstrip","https://modthesims.info//m/3048639","https://modthesims.info/downloads/ts4/38/page/5/?showType=1&t=picked&csort=0","2022-01-16",17,38100,173,"Create-a-Sim","Glasses & Other Accessories","","17th Nov 2017","13th Apr 2020"
"Set Filters on Paintings by Reference v4","https://modthesims.info//d/602945/set-filters-on-paintings-by-reference-v4.html","https://thumbs2.modthesims2.com/img/7/4/0/1/8/2/5/1730630.largethumb.jpg?cb=1510551456","scumbumbo","https://modthesims.info//m/7401825","https://modthesims.info/downloads/ts4/38/page/5/?showType=1&t=picked&csort=0","2022-01-16",108,72500,235,"Game Mods","Overrides","Tuning Mods","13th Nov 2017","18th Apr 2019"
"Self-Configurable Autonomy Mod (SCAMv6)","https://modthesims.info//d/602837/self-configurable-autonomy-mod-scamv6.html","https://thumbs2.modthesims2.com/img/7/4/0/1/8/2/5/1730099.largethumb.jpg?cb=1510363321","scumbumbo","https://modthesims.info//m/7401825","https://modthesims.info/downloads/ts4/38/page/5/?showType=1&t=picked&csort=0","2022-01-16",214,135800,408,"Game Mods","Script & Core Mods","Core Mods","11th Nov 2017","16th Apr 2019"
"Fresh Wall Lights","https://modthesims.info//d/602489/fresh-wall-lights.html","https://thumbs2.modthesims2.com/img/6/8/3/1/0/2/3/1728823.largethumb.jpg?cb=1509639347","Snowhaze","https://modthesims.info//m/6831023","https://modthesims.info/downloads/ts4/38/page/5/?showType=1&t=picked&csort=0","2022-01-16",14,25000,140,"Lighting","","","2nd Nov 2017",""
"Spooky Cookies - TS4 Edition (Updated - 9.7.2020)","https://modthesims.info//d/602418/spooky-cookies-ts4-edition-updated-9-7-2020.html","https://thumbs2.modthesims2.com/img/4/5/9/0/9/3/6/1728506.largethumb.jpg?cb=1509481855","icemunmun","https://modthesims.info//m/4590936","https://modthesims.info/downloads/ts4/38/page/5/?showType=1&t=picked&csort=0","2022-01-16",24,82600,219,"Game Mods","Miscellaneous","Other","31st Oct 2017","10th Jul 2020"
"The Pumpkin Project","https://modthesims.info//d/602331/the-pumpkin-project.html","https://thumbs2.modthesims2.com/img/4/5/9/0/9/3/6/1728166.largethumb.jpg?cb=1509307149","icemunmun","https://modthesims.info//m/4590936","https://modthesims.info/downloads/ts4/38/page/5/?showType=1&t=picked&csort=0","2022-01-16",26,100600,310,"Build Mode","Garden Center","","29th Oct 2017","22nd Jul 2021"
"Simblreen - Bat Cave + effect","https://modthesims.info//d/602217/simblreen-bat-cave-effect.html","https://thumbs2.modthesims2.com/img/3/7/5/1/1/1/9/1727798.largethumb.jpg?cb=1509127645","Bakie","https://modthesims.info//m/3751119","https://modthesims.info/downloads/ts4/38/page/5/?showType=1&t=picked&csort=0","2022-01-16",22,23000,77,"Decorative","Miscellaneous","","27th Oct 2017",""
"Zimdorf - A Tudor Village","https://modthesims.info//d/601198/zimdorf-a-tudor-village.html","https://thumbs2.modthesims2.com/img/6/9/7/3/9/2/7/1724643.largethumb.jpg?cb=1507150719","zims33","https://modthesims.info//m/6973927","https://modthesims.info/downloads/ts4/38/page/5/?showType=1&t=picked&csort=0","2022-01-16",6,29300,81,"Lots & Housing","Residential","","4th Oct 2017",""
"Functional candy Dispenser with Edible Candies [Updated 20.06.2020 ] - Spooky Day Update","https://modthesims.info//d/584721/functional-candy-dispenser-with-edible-candies-updated-20-06-2020-spooky-day-update.html","https://thumbs2.modthesims2.com/img/4/5/9/0/9/3/6/1651925.largethumb.jpg?cb=1477080190","icemunmun","https://modthesims.info//m/4590936","https://modthesims.info/downloads/ts4/38/page/5/?showType=1&t=picked&csort=0","2022-01-16",71,146700,412,"Appliances","","","21st Oct 2016","20th Jun 2020"
"Serenity Relax Spa - No CC","https://modthesims.info//d/600704/serenity-relax-spa-no-cc.html","https://thumbs2.modthesims2.com/img/9/4/8/3/8/1723933.largethumb.jpg?cb=1506297698","bradybrad7","https://modthesims.info//m/94838","https://modthesims.info/downloads/ts4/38/page/5/?showType=1&t=picked&csort=0","2022-01-16",3,31800,57,"Lots & Housing","Community","","25th Sep 2017",""
"Fantasia - 3BR/2BA Vacation Cottage [NO CC]","https://modthesims.info//d/596443/fantasia-3br-2ba-vacation-cottage-no-cc.html","https://thumbs2.modthesims2.com/img/6/9/7/3/9/2/7/1703485.largethumb.jpg?cb=1498481386","zims33","https://modthesims.info//m/6973927","https://modthesims.info/downloads/ts4/38/page/5/?showType=1&t=picked&csort=0","2022-01-16",9,20900,56,"Lots & Housing","Residential","","26th Jun 2017",""
"Castle Stokesay/noCC, GTG needed.","https://modthesims.info//d/599800/castle-stokesay-nocc-gtg-needed.html","https://thumbs2.modthesims2.com/img/9/7/7/8/8/3/7/1718625.largethumb.jpg?cb=1504555246","Velouriah","https://modthesims.info//m/9778837","https://modthesims.info/downloads/ts4/38/page/6/?showType=1&t=picked&csort=0","2022-01-16",17,40100,151,"Lots & Housing","Residential","","4th Sep 2017",""
"Live Drag: Move Objects without Pausing (Updated 6/26)","https://modthesims.info//d/599768/live-drag-move-objects-without-pausing-updated-6-26.html","https://thumbs2.modthesims2.com/img/8/9/9/1/6/3/4/1718451.largethumb.jpg?cb=1504489001","TwistedMexi","https://modthesims.info//m/8991634","https://modthesims.info/downloads/ts4/38/page/6/?showType=1&t=picked&csort=0","2022-01-16",46,60900,244,"Game Mods","Script & Core Mods","Pure Scripting Mods","4th Sep 2017","30th Jun 2018"
"Animated Mousehole","https://modthesims.info//d/599665/animated-mousehole.html","https://thumbs2.modthesims2.com/img/3/7/5/1/1/1/9/1717910.largethumb.jpg?cb=1504295283","Bakie","https://modthesims.info//m/3751119","https://modthesims.info/downloads/ts4/38/page/6/?showType=1&t=picked&csort=0","2022-01-16",17,25200,75,"Decorative","Wall Hangings","","1st Sep 2017",""
"[UPDATED] Phone DReplacement - Samsung GALAXY Note8","https://modthesims.info//d/599514/updated-phone-dreplacement-samsung-galaxy-note8.html","https://thumbs2.modthesims2.com/img/8/9/4/8/6/8/5/1717334.largethumb.jpg?cb=1504094206","littledica","https://modthesims.info//m/8948685","https://modthesims.info/downloads/ts4/38/page/6/?showType=1&t=picked&csort=0","2022-01-16",35,93100,181,"Game Mods","Overrides","Other","30th Aug 2017","26th Nov 2017"
"Functional Aqua Pura Water Cooler","https://modthesims.info//d/599551/functional-aqua-pura-water-cooler.html","https://thumbs2.modthesims2.com/img/5/9/3/6/3/1717288.largethumb.jpg?cb=1504030137","Menaceman44","https://modthesims.info//m/59363","https://modthesims.info/downloads/ts4/38/page/6/?showType=1&t=picked&csort=0","2022-01-16",106,122500,452,"Appliances","","","29th Aug 2017","10th Sep 2019"
"Christina Fiona Mansion - 4 bedr, 3 bathr","https://modthesims.info//d/599161/christina-fiona-mansion-4-bedr-3-bathr.html","https://thumbs2.modthesims2.com/img/8/4/9/4/5/9/1/1715630.largethumb.jpg?cb=1503257278","Lyralei","https://modthesims.info//m/8494591","https://modthesims.info/downloads/ts4/38/page/6/?showType=1&t=picked&csort=0","2022-01-16",4,30500,53,"Lots & Housing","Residential","","20th Aug 2017",""
"Old Square Market (noCC)","https://modthesims.info//d/597695/old-square-market-nocc.html","https://thumbs2.modthesims2.com/img/7/2/2/7/2/5/0/1708607.largethumb.jpg?cb=1500592562","Oloriell","https://modthesims.info//m/7227250","https://modthesims.info/downloads/ts4/38/page/6/?showType=1&t=picked&csort=0","2022-01-16",40,37800,162,"Lots & Housing","Community","","21st Jul 2017",""
"The Cathedral of the Holy Trinity, Dresden - Major Update!","https://modthesims.info//d/597483/the-cathedral-of-the-holy-trinity-dresden-major-update.html","https://thumbs2.modthesims2.com/img/1/5/3/4/0/1/1712861.largethumb.jpg?cb=1500139507","Glouryian","https://modthesims.info//m/153401","https://modthesims.info/downloads/ts4/38/page/6/?showType=1&t=picked&csort=0","2022-01-16",14,43000,83,"Lots & Housing","Community","","15th Jul 2017","4th Aug 2017"
"(Kind of) Saree","https://modthesims.info//d/593826/kind-of-saree.html","https://thumbs2.modthesims2.com/img/4/3/3/4/5/1/1/1690173.largethumb.jpg?cb=1493606418","grindingteeth","https://modthesims.info//m/4334511","https://modthesims.info/downloads/ts4/38/page/6/?showType=1&t=picked&csort=0","2022-01-16",31,47200,128,"Female","Mixed Sets","Adult","1st May 2017","1st May 2017"
"[starter] griselda - 2br / 2ba","https://modthesims.info//d/595288/starter-griselda-2br-2ba.html","https://thumbs2.modthesims2.com/img/3/2/5/5/8/2/2/1697672.largethumb.jpg?cb=1496352370","farfalle","https://modthesims.info//m/3255822","https://modthesims.info/downloads/ts4/38/page/6/?showType=1&t=picked&csort=0","2022-01-16",16,30400,126,"Lots & Housing","Residential","","1st Jun 2017",""
"On the Curve:Circular and Oval Flowerbeds Reborn","https://modthesims.info//d/594079/on-the-curve-circular-and-oval-flowerbeds-reborn.html","https://thumbs2.modthesims2.com/img/6/8/3/1/0/2/3/1691574.largethumb.jpg?cb=1493914772","Snowhaze","https://modthesims.info//m/6831023","https://modthesims.info/downloads/ts4/38/page/6/?showType=1&t=picked&csort=0","2022-01-16",25,65700,188,"Decorative","Sculptures","","4th May 2017",""
"TwistedMexi's Terrain Pack","https://modthesims.info//d/593369/twistedmexi-s-terrain-pack.html","https://thumbs2.modthesims2.com/img/8/9/9/1/6/3/4/1688124.largethumb.jpg?cb=1492498636","TwistedMexi","https://modthesims.info//m/8991634","https://modthesims.info/downloads/ts4/38/page/6/?showType=1&t=picked&csort=0","2022-01-16",61,69600,280,"Build Mode","Garden Center","","18th Apr 2017",""
